tempo_s,posicao_x_px,posicao_y_px
34.458028169863674,1038,902
34.49135314875136,1067,904
34.52467812763904,1099,909
34.558003106526726,1135,912
34.5913280854144,1174,915
34.62465306430209,1214,918
34.65797804318977,1256,919
34.691303022077456,1298,919
34.72462800096513,1339,919
34.75795297985282,1380,916
34.7912779587405,1418,914
34.824602937628185,1454,911
34.85792791651586,1487,907
34.89125289540355,1516,903
34.92457787429123,1541,900
34.957902853178915,1562,897
34.99122783206659,1577,893
35.024552810954276,1587,891
35.05787778984196,1592,891
35.091202768729644,1591,891
35.12452774761733,1584,892
35.157852726505006,1572,895
35.19117770539269,1554,898
35.224502684280374,1532,901
35.25782766316806,1505,905
35.291152642055735,1474,908
35.32447762094342,1440,911
35.3578025998311,1403,915
35.39112757871879,1363,917
35.424452557606465,1322,918
35.45777753649415,1281,919
35.49110251538183,1239,918
35.52442749426952,1198,916
35.557752473157194,1159,914
35.59107745204488,1122,911
35.62440243093256,1088,906
35.65772740982025,1057,902
35.69105238870793,1030,898
35.72437736759561,1007,894
